printcount,,ref,fronttext,frontflavour,roleplaying,mechanical,religious,relicon,printrun,,,,
10,Mark of Divinity,M001,Mark of Divinity,,Roleplaying Effect: You feel yourself rising above Mortals,"You are a valid religious alignment. You may be sacrificed to and gain followers like a God. You may ask the refs for your current power level after each meal. This Mark cannot be removed, doubled or suppressed.",You.,,norm,Various routes in the Ascension quest chain: PIG03 for returning F012-14 as gained in PIG02,,,
1,Mark of Silence,M002,Mark of Silence,,None,"Whilst through the gate, you are continously under the effect of MUTE. Whilst not through the gate, you are unable to speak about anything that occurred through the gate. ","""They of Whom We Do Not Speak"" ",vold,norm,Given by They of Whom We Do Not Speak,,,Removal helpful
3,Mark of Discovery,M003,Mark of Discovery,,You feel a great thrill when discovering something new. ,While you bear this mark you do not suffer the effects of the second and third levels of Toxicity.,The Curious Alchemist,alch,norm,ALC01- reward for alch sidequest,,,No effect
1,Mark of the Lord,M004,Mark of the Lord,,You feel inclined towards gaining power. ,"While you bear this mark, you may bestow up to three marks of the advisor by tattooing them on those who swear fealty to you. You gain +1 Mana for each Mark of the Advisor you have bestowed. You gain +1 Might for each Mark of the Serf that has been bestowed.",The Tyrant,tyr12,norm,Given by The Tyrant. Do we want the mechanism for bestowing the marks on there as well?,,,Bennies twice.
3,Mark of the Advisor,M005,Mark of the Advisor,, You feel loyal towards the person who gave you this mark. ,"This mark can be bestowed by they who bear the mark of the Lord. While you bear this mark, you may bestow up to three marks of the Serf by tattooing them on those who swear fealty to you. You gain +1 Might for each Mark of the Serf you have bestowed.",The Tyrant,tyr13,norm,Given by the Lord. Do we want the mechanism for bestowing the marks on there as well?,,,"Bennies twice.
No effect on Lord."
9,Mark of the Serf,M006,Mark of the Serf,,You feel loyal towards the person who gave you this Mark,This mark can be bestowed by they bearing the mark of the Advisor. ,The Tyrant,tyr14,norm,Given by the Advisors,,,No effect
1,Mark of the Victor,M007,Mark of the Victor,,You are unable to refuse a direct challenge.,"If you are defeated in combat, give this mark to the person who defeated you",Brothvar the Eternal One,brv,norm,Given by Brothvar the Eternal One,,,No effect
5,Mark of the Undying,M008,Mark of the Undying,,You feel inclined towards mortal danger,You call RESIST against SLAY. Instead take REFRESH then destroy this Mark,Corvus,crv,norm,"CRV01, sidequest reward for sacrificing",,,Stacks nicely
2,Mark of Equilibrium ,M009,Mark of Equilibrium,,"You dislike odd numbers, they don't match up.","Your maximum Vitality, Maximum Might and Maximum Mana is the average of all who bear this mark",Twins of Balance,bal,norm,BAL01 sidequest reward: 'present me your prefect pair',,,"Gone: doesn't affect other person
Returns: closer to your stats
TWINS HATE THIS ONE TRICK"
5,Mark of the Visionary,M010,Mark of the Visionary,,"You feel that by consume Bog Spice, great truths will be revealled to you.","Whenever you consume Bog Spice, inform the refs you have this Mark",Castilla the Bog Witch,bog,norm,"BOG01, rewarding drug use",Bog Spice visions replaced with Bog Witch visions,,No effect
1,Mark of Permenance,M011,Mark of Permenance,, You feel constantly aware of the presence of this mark.,This Mark cannot be removed by benediction. Inform a ref if you have this Mark at each meal,None,,norm,Induces paranoia in players.,,,"Double Paranoia:
tell them that they don't need to see a ref any more."
8,Mark of Evolution,M012,Mark of Evolution,, You feel a desire to improve your body. ,You gain +1 Might and +1 Vitality every meal,The Perfect Flesh,prf,norm,"PRF001, PRF002",,,Double gain!
1,Mark of Butchery,M013,Mark of Butchery,,You are unafraid of death.  ,"When you are hit by SACRIFICE you yield a ""Meat of Possiblity"" as well as your soul. You respond to IDENTIFY as ""Tasty""",The Happy Pig,pig,norm,Given by our true Lord and God the Bestest of all Possible Pigs.,,,"Double meat, double tasty"
5,Mark of Harvest,M014,Mark of Harvest,,You feel an immense sense of gratitude and religious fervour whenever you eat,"You are able to perform a blessing over any food, those who consume the food have their religious alignment become ""Eridu""",Eridu,erd,norm,"ERI02 Given by Eridu to those who bless a meal in her name, TYR01 siding w/ Eridu",,,
10,Mark of Determination,M015,Mark of Determination,,"You feel a strong drive to preserve your own life, at the expense of all else","You gain two uses of the ""Second Wind"" skill",The Ouroboros,our,norm,OUR01- sidequest (travel through gate w/ no armour),,,
5,Mark of Kinship,M016,Mark of Kinship,,You feel connected to a wider group. Each meal time you feel compelled to gather at the fire and loudly sing the praises of the Blooded Mother,"You may call MASS DETECT The Family at will. You respond positively to DETECT The Family. You respond to IDENTIFY as ""The Family"". HEAL calls you recieve increase their effect by two (e.g. a HEAL 1 becomes a HEAL 3).",The Blooded Mother,bld,norm,BLD01- Given by the Blooded Mother,,,
1,Mark of the Wolf,M017,Mark of the Wolf,,You are unable to retreat from a fight or other confrontation,"Whenever you travel through the Gate you gain one use of CLEAVE by 42"" weapon for each individual that travelled through with you",None,,norm,Given by the Tattooist,,,
1,Mark of the Dove,M018,Mark of the Dove,,You may not strike anyone who has not already struck you or caused you to lose vitality,"Whenever you would make a HEAL call, increase its effect by one (e.g. HEAL 1 becomes HEAL 2)",None,,norm,Given by the Tattooist,,,
1,Mark of the Rat,M019,Mark of the Rat,,"You must always lie whenever asked a direct question. You feel a strong inclination to decieve in all other situations, especially when it serves no purpose.",You may enter the temple without having the appropriate skill,None,,norm,Given by the Tattooist,,,
1,Mark of the Bull,M020,Mark of the Bull,,Your first solution to any problem is violence.,"Whenever you call IMPALE successfully, take HEAL ONE",None,,norm,Given by the Tattooist,,,
1,Mark of the Bear,M021,Mark of the Bear,,You must always attempt to finish off those who are wounded ,If you are wielding a weapon in your off-hand you may use it to call CLEAVE 3/meal,None,,norm,Given by the Tattooist,,,
1,Mark of the Moth,M022,Mark of the Moth,,You feel a compulsion to periodically gaze at the fire for a protracted period of time,"If you stare at a flame uninterrupted for 5 mins, regain one Might or Mana. You may do this once per meal.",None,,norm,Given by the Tattooist,,,
5,Mark of Chivalry,M023,Mark of Chivalry,,You feel compelled to keep any solemn oath or promise you make,"You may gain any one skill from the Warfare tree, ignoring usual class restrictions",Brothvar the Eternal One,brv,norm,BRV01- Given by Knights of Brothvar as sidequest reward. Also BRV04. ,,,
4,Mark of Wisdom,M024,Mark of Wisdom,,You are certain your intellect is superior to all who surround you,You may gain +1 Mana each Meal,Eridu,,norm,PRF002 siding w/ Eridu. ERD07 for siding with her.,,,
1,Mark of the Salamander,M025,Mark of the Salamander,,Once per meal you feel compelled to eat someone.,"Once per Refresh, for the next 5 minutes you take FLAME as HEAL ONE and call RESIST",None,,norm,Killing the Salamander Emperor GEN11,,,
10,Mark of Pairing,M026,Mark of Pairing,,You feel a kinship with ________________,Each meal time you know the religious alignment of ___________________. You may call MASS DETECT ___________________ at will,Twins of Balance,bal,norm,Twins Sidequest,,,
4,Mark of Blood,M027,Mark of Blood,,You are aware of the blood pulsing through your veins and heart.,"By dealing one point of damage to yourself in the form of ritual cutting you may restore a point of Mana or Might. You may do this as many times as you wish, but can never exceed your maximum Might or Mana.",The Blooded Mother,bld,norm,BLD03- reward for bloodless run in BLD02,,,
1,Mark of Chains,M028,Mark of Chains,,"You feel a heavy weight, that shall only be lifted through forgiveness","You lose one might and one mana for each meal you have eaten while within the Bastion. If you remove this Mark, see a ref.",The Tyrant,tyr,norm,TYR02 for pissing Tyrant off in TYR02,Pisses off the Tyrant.,,
1,Mark of Vassalage,M029,Mark of Vassalage,,You feel as though all that you have is owed to one greater than you,Sacrifices you offer count as two sacrifices. You are able to call SACRIFICE to the Tyrant without the skill and even if you are otherwise aligned.,The Tyrant,tyr,norm,TYR02 for making Tyrant happy in TYR02,,,
