name,ref,fronttext,roleplaying,mechanical,religious
Mark of Divinity,M001,Mark of Divinity,Roleplaying Effect: You feel yourself rising above Mortals,"You have become a valid religious alignment. You may be sacrificed to and gain followers like a God. You may ask the refs for your current power level after each meal. This Mark cannot be removed, doubled or suppressed.",You.,Various routes in the Ascension quest chain: PIG03 for returning F012-14 as gained in PIG02,,,
Mark of Silence,M002,Mark of Silence,None,"Whilst through the gate, you are continously under the effect of MUTE. Whilst not through the gate, you are unable to speak about anything that occurred through the gate. ","""They of Whom We Do Not Speak"" ",Given by They of Whom We Do Not Speak,,,Removal helpful
Mark of Discovery,M003,Mark of Discovery,You feel a great thrill when discovering something new. ,While you bear this mark you do not suffer the effects of the second and third levels of Toxicity.,The Curious Alchemist,ALC01- reward for alch sidequest,,,No effect
Mark of the Lord,M004,Mark of the Lord,You feel inclined towards gaining power. ,"While you bear this mark, you may bestow up to three marks of the advisor by tattooing them on those who swear fealty to you. You gain +1 Mana for each Mark of the Advisor you have bestowed. You gain +1 Might for each Mark of the Serf that has been bestowed.",The Tyrant,Given by The Tyrant. Do we want the mechanism for bestowing the marks on there as well?,,,Bennies twice.
Mark of the Advisor,M005,Mark of the Advisor, You feel loyal towards the person who gave you this mark. ,"While you bear this mark, you may bestow up to three marks of the Serf by tattooing them on those who swear fealty to you. You gain +1 Might for each Mark of the Serf you have bestowed.",The Tyrant,Given by the Lord. Do we want the mechanism for bestowing the marks on there as well?,,,"Bennies twice.
No effect on Lord."
Mark of the Serf,M006,Mark of the Serf,You feel loyal towards the person who gave you this Mark,None,The Tyrant,Given by the Advisors,,,No effect
Mark of the Champion,M007,Mark of the Champion,You are unable to refuse a direct challenge.,"If you are defeated in combat, give this mark to the person who defeated you",Brothvar the Eternal One,Given by Brothvar the Eternal One,,,No effect
Mark of the Undying,M008,Mark of the Undying,You feel inclined towards mortal danger,You call RESIST against SLAY. Instead take REFRESH then destroy this Mark,Corvus,"CRV01, sidequest reward for sacrificing",,,Stacks nicely
Mark of Equilibrium ,M009,Mark of Equilibrium,You dislike odd numbers.,"Your maximum Vitality, Maximum Might and Maximum Mana is the average of all who bear this mark",Twins of Balance,BAL01 sidequest reward: 'present me your prefect pair',,,"Gone: doesn't affect other person
Returns: closer to your stats
TWINS HATE THIS ONE TRICK"
Mark of the Visionary,M010,Mark of the Visionary,"You feel that by consume Bog Spice, great truths will be revealled to you.","Whenever you consume Bog Spice, inform the refs you have this Mark",Castilla the Bog Witch,"BOG01, rewarding drug use",Bog Spice visions replaced with Bog Witch visions,,No effect
Mark of Permenance,M011,Mark of Permenance, You feel constantly aware of the presence of this mark.,This Mark cannot be removed by benediction. Inform a ref if you have this Mark at each meal,None,Induces paranoia in players.,,,"Double Paranoia:
tell them that they don't need to see a ref any more."
Mark of Evolution,M012,Mark of Evolution, You feel a desire to improve your body. ,You gain +1 Might and +1 Vitality every meal,The Perfect Flesh,"PRF001, PRF002",,,Double gain!
